ID	Author	Work	Subdoc	TextURN
urn:cite2:gagdt:sentences.v1:Soph_Aj_61	Sophocles	Ajax	89	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:89.1-89.9
urn:cite2:gagdt:sentences.v1:Soph_Aj_62	Sophocles	Ajax	90	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:90.1-90.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_63	Sophocles	Ajax	91-92	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:91.1-92.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_64	Sophocles	Ajax	92-93	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:92.5-93.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_65	Sophocles	Ajax	94	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:94.1-94.3
urn:cite2:gagdt:sentences.v1:Soph_Aj_66	Sophocles	Ajax	94-95	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:94.4-95.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_67	Sophocles	Ajax	96	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:96.1-96.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_68	Sophocles	Ajax	97	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:97.1-97.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_69	Sophocles	Ajax	98	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:98.1-98.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_70	Sophocles	Ajax	99	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:99.1-99.9
urn:cite2:gagdt:sentences.v1:Soph_Aj_71	Sophocles	Ajax	100	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:100.1-100.6
