ID	Author	Work	Subdoc	TextURN
urn:cite2:gagdt:sentences.v1:Aesch_Ag_76	Aeschylus	Agamemnon	253	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:253.1-253.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_77	Aeschylus	Agamemnon	254	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:254.1-254.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_78	Aeschylus	Agamemnon	255-257	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:255.1-257.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_79	Aeschylus	Agamemnon	258	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:258.1-258.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_80	Aeschylus	Agamemnon	259-260	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:259.1-260.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_81	Aeschylus	Agamemnon	261-263	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:261.1-263.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_82	Aeschylus	Agamemnon	263	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:263.5-263.9
urn:cite2:gagdt:sentences.v1:Aesch_Ag_83	Aeschylus	Agamemnon	264-265	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:264.1-265.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_84	Aeschylus	Agamemnon	266	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:266.1-266.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_85	Aeschylus	Agamemnon	267	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:267.1-267.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_86	Aeschylus	Agamemnon	268	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:268.1-268.3
urn:cite2:gagdt:sentences.v1:Aesch_Ag_87	Aeschylus	Agamemnon	268	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:268.4-268.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_88	Aeschylus	Agamemnon	269	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:269.1-269.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_89	Aeschylus	Agamemnon	269	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:269.5-269.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_90	Aeschylus	Agamemnon	270	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:270.1-270.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_91	Aeschylus	Agamemnon	271	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:271.1-271.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_92	Aeschylus	Agamemnon	272	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:272.1-272.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_93	Aeschylus	Agamemnon	272	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:272.6-272.10
urn:cite2:gagdt:sentences.v1:Aesch_Ag_94	Aeschylus	Agamemnon	273	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:273.1-273.2
urn:cite2:gagdt:sentences.v1:Aesch_Ag_95	Aeschylus	Agamemnon	273	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:273.3-273.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_96	Aeschylus	Agamemnon	273	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:273.7-273.10
urn:cite2:gagdt:sentences.v1:Aesch_Ag_97	Aeschylus	Agamemnon	274	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:274.1-274.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_98	Aeschylus	Agamemnon	275	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:275.1-275.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_99	Aeschylus	Agamemnon	276	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:276.1-276.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_100	Aeschylus	Agamemnon	277	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:277.1-277.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_101	Aeschylus	Agamemnon	278	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:278.1-278.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_102	Aeschylus	Agamemnon	279	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:279.1-279.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_103	Aeschylus	Agamemnon	280	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:280.1-280.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_104	Aeschylus	Agamemnon	281	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:281.1-281.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_105	Aeschylus	Agamemnon	282-283	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:282.1-283.2
urn:cite2:gagdt:sentences.v1:Aesch_Ag_106	Aeschylus	Agamemnon	283-284	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:283.3-284.2
urn:cite2:gagdt:sentences.v1:Aesch_Ag_107	Aeschylus	Agamemnon	284-289	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:284.3-289.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_108	Aeschylus	Agamemnon	290-291	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:290.1-291.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_109	Aeschylus	Agamemnon	292-293	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:292.1-293.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_110	Aeschylus	Agamemnon	294-295	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:294.1-295.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_111	Aeschylus	Agamemnon	296-299	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:296.1-299.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_112	Aeschylus	Agamemnon	300-301	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:300.1-301.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_113	Aeschylus	Agamemnon	302	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:302.1-302.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_114	Aeschylus	Agamemnon	303-304	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:303.1-304.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_115	Aeschylus	Agamemnon	305-308	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:305.1-308.2
urn:cite2:gagdt:sentences.v1:Aesch_Ag_116	Aeschylus	Agamemnon	308-309	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:308.3-309.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_117	Aeschylus	Agamemnon	310-311	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:310.1-311.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_118	Aeschylus	Agamemnon	312-313	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:312.1-313.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_119	Aeschylus	Agamemnon	314	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:314.1-314.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_120	Aeschylus	Agamemnon	315-316	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:315.1-316.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_121	Aeschylus	Agamemnon	317	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:317.1-317.9
urn:cite2:gagdt:sentences.v1:Aesch_Ag_122	Aeschylus	Agamemnon	318-319	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:318.1-319.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_123	Aeschylus	Agamemnon	320	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:320.1-320.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_124	Aeschylus	Agamemnon	321	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:321.1-321.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_125	Aeschylus	Agamemnon	322-323	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:322.1-323.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_126	Aeschylus	Agamemnon	324-325	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:324.1-325.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_127	Aeschylus	Agamemnon	326-329	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:326.1-329.5
